字段名称,数据类型,显示顺序,栏位名称,表或者视图名称,ID
LastOweDate,datetime,1,最早缺料,V_APS_DeliveryData2,26646
Code,varchar,1,货品编码,V_APS_OrderForPrepare2,25939
DataSource,nvarchar,1,数据来源,V_APS_Report35,26153
AttendanceDate,datetime,1,日期,V_APS_LineAttendanceDetail,21617
RoleID,varchar,1,代码,Dev_Role,582
PositionName,nvarchar,1,岗位名称,Dev_Position,419
ProcessPriority,int,1,顺序,V_APS_ProcessGroupInfo,3260
ProcessGroupID,varchar,1,工艺编码,APS_ProcessGroup,3012
OrderNo,varchar,1,生产单号,V_APS_OrderProcess,6552
ProcessPriceID,bigint,1,,PWS_ProcessPrice,6971
OrderNo,varchar,1,生产单号,V_APS_OrderPlanMaterialForm,9071
DocNo,varchar,1,发料单号,V_APS_OrderPicking,10312
PositionAttribute,nvarchar,1,属性,V_Dev_Position,40885
OrganizeID,int,1,组织ID,Dev_PositionAccountMap,40798
PositionName,nvarchar,1,子岗位,V_Dev_PositionAccountMap,41070
ProcessName,nvarchar,1,工序名称,V_APS_ProcessPositionMap,41377
YearMonth,varchar,1,月份,V_APS_Report41,41470
StatusLabel,varchar,1,状态,V_APS_Report44,41779
MaterialType,nvarchar,1,分类,V_APS_SalesOrderBom,41751
MachineID,varchar,1,设备,V_APS_AssessmentMachine,41701
OrganizeID,bigint,1,组织ID,APS_AssessmentHR,41573
OrganizeID,bigint,1,组织,V_APS_AssessmentHR,41636
ID,int,1,ID,APS_AssessmentMachine,41593
OrganizeID,bigint,1,组织ID,APS_AssessmentResources,41614
OrganizeID,int,1,组织ID,APS_ProcessPosition,40779
OrganizeID,int,1,组织ID,Dev_PositionLevelMap,40824
ID,int,1,ID,APS_QualityAbnormalityCase,40558
ID,int,1,ID,APS_NewProductTrial,40523
CustomerType,nvarchar,1,类别,V_Dev_Customer,39228
EID,bigint,1,明细ID,APS_InterfaceSAPInput,39122
FName,varchar,1,字段,APS_InterfaceSAPInput,39124
EID,bigint,1,EID,APS_InterfaceSAPOutput,39150
FName,varchar,1,字段名称,APS_InterfaceSAPOutputField,39174
SourceOrderNo,varchar,1,销售订单,V_APS_MOPlanStep1V10,38357
CreatedOn,date,1,日期,V_PWS_WageTrendReport,38383
OrderNO,varchar,1,来源订单,V_APS_SalesPlanMaterial,39067
MaterialType,nvarchar,1,分类,V_APS_MaterialBalancePlan,38532
DemandDateF,nvarchar,1,日期,V_APS_OrderPlanMaterialFormListForBoardSum,38857
MaterialName,nvarchar,1,物料描述,V_APS_ProcessPartMaterial2,44423
OrganizeID,int,1,组织ID,APS_MaterialForecastForm,44306
OrganizeID,int,1,组织ID,APS_MaterialForecastBom,44283
AttendanceDate,datetime,1,出勤日期,V_APS_SalesOrderDetailDeliver3Total,43801
MissingMaterials,nvarchar,1,不在BOM的物料,V_APS_OrderWarning,43675
CustomerName,nvarchar,1,客户名称(工单),V_APS_PrepareView1,43713
ID,bigint,1,ID,MES_RouteReport,44046
YearMonth,varchar,1,年月,V_APS_OrderForCheck,44037
Code,varchar,1,产品编码,V_MES_RouteReport,44069
Name1,nvarchar,1,日期,V_APS_MaterialBalanceByType,42377
SupplierType,nvarchar,1,类别,V_APS_PrepareView17,42327
Name1,nvarchar,1,日期,V_APS_PrepareView16,42347
MaterialType,nvarchar,1,分类,V_APS_Report45,42268
Extend10,nvarchar,1,属性,V_APS_MaterialOrg,41794
ParentID,int,1,岗位名称,V_Dev_PositionDetail,42837
OrganizeID,int,1,生产线,V_Dev_AccountEmployee,42809
OrganizeID,int,1,线别,Dev_PositionExamRecord,42774
RankNo,bigint,1,排名,V_APS_PrepareView15,42539
ImportResult,nvarchar,1,导入结果,V_APS_ProcessMaterialError,42561
DocDate,datetime,1,时间,V_WMS_ArrivalGoods,42614
CustomerName,nvarchar,1,客户,V_APS_CustomerByMonthlySummary,42636
CustomerName,nvarchar,1,客户,V_APS_CustomerByQuarterSummary,42640
Extend1,nvarchar,1,工种,V_APS_LineAttendance,43612
PCDeliveryDate,datetime,1,要求开工,V_APS_MOPlanStep1V2,44942
MasterCode,varchar,1,产品编码,V_APS_Report36,45102
DeliveryDate,datetime,1,订单交期,V_APS_Report47,46240
YearMonth,varchar,1,月份,V_APS_Report18,46518
YearMonth,varchar,1,月份,V_APS_PrepareView20,46526
ProductionDate,datetime,1,生产日期,V_APS_Report26,46681
SourceOrderNo,varchar,1,销售订单,V_APS_Report38,46839
ID,bigint,1,ID,MES_OrderRouteReport,46901
RemarkSalesOrderInfo,nvarchar,1,群组,V_APS_Report14,47373
ProductionDate,datetime,1,生产日期,V_APS_PrepareView5,47436
DefaultLineID,int,1,生产线,V_APS_MOPlanStep5,47284
DeliveryDate,datetime,1,生产交期,V_APS_MOPlanStep2V10,47122
ProductionDate,datetime,1,生产日期,V_APS_OrderForPrepare3,47890
ForeCastNo,varchar,1,预测单号,V_APS_OrderForPrepare,47741
Remark1,nvarchar,2,MC备注,V_APS_Report1,45343
Name,nvarchar,2,姓名,V_Dev_PositionExamRecord,42884
MaterialType,nvarchar,2,物料组,V_APS_PrepareView6,41947
LineName,nvarchar,2,产线,V_APS_ProductionReportMt,42421
OrganizeName,nvarchar,2,生产线,V_APS_SchedulingOutByOrder,43821
